,Forecast
1961-01-01,447.2226197651374
1961-02-01,422.7340984378036
1961-03-01,457.7008947501595
1961-04-01,492.27750508608057
1961-05-01,505.5633657237077
1961-06-01,565.6717819674116
1961-07-01,651.9864040785459
1961-08-01,639.6342424125804
1961-09-01,543.0588451043561
1961-10-01,493.72702550537525
1961-11-01,426.9380009913207
1961-12-01,470.13560860320854
1962-01-01,483.70043150864353
1962-02-01,458.36324252197
1962-03-01,489.5314957419575
1962-04-01,528.1600923386691
1962-05-01,540.1981413131253
1962-06-01,601.8853168591941
1962-07-01,688.5741749908185
1962-08-01,674.2302651446398
1962-09-01,576.8770257939605
1962-10-01,528.8183954971521
1962-11-01,459.73014954603286
1962-12-01,502.2738551833749
